(349 12215 8899 3701 598.5827808444768 439.9887577864947 439.9887577864947 601.4331119485269 439.9887577864948 598.7459280264675 439.9887577864947 603.0220836008028 error error error error -48229.269901699015 -48229.269898915896 -48229.269898915896 -35949.09007811042 -48229.269898915896 -29303.26859403735 -48229.269898915896 -39440.185122297014 error error error error 192.0801721619151 192.0801721619151 192.0801721619151 228.77311205419525 192.0801721619151 249.37731621556887 192.0801721619151 220.4358780291272 error error error error error error error error error error error error error error error error 1557.1522999814363 5.231674437746538e-13 6.418593733527999e-14 4.622402330121414e-13 2.1517006388877563e-13 7.768982251505856e-13 1.0877062336751147e-13 4.991574571615485e-13 error error error error 24343.056180017084 3.875594289937112e-12 8.543998841759048e-13 5.702993632894504e-12 1.794037141067406e-12 9.232725695085264e-12 1.5264733921327434e-12 6.143530129065766e-12 error error error error , Any[], Any[])
(349 12215 8899 4949 605.1501891226732 476.502491172277 476.502491172277 605.612592653052 476.5024911722771 606.3192124574928 476.5024911722771 606.7512100189382 error error error error -56650.12264792687 -56650.122646057105 -56650.122646057105 -45025.984612372384 -56650.122646057105 -39909.991108348506 -56650.122646057105 -48201.1108913212 error error error error 202.38455381337394 202.38455381337394 202.38455381337394 232.2580353910586 202.38455381337394 251.79813163939866 202.38455381337394 228.6161779512171 error error error error error error error error error error error error error error error error 1308.7408833967183 9.442613686839813e-13 7.055015814893524e-14 4.341699431168144e-13 1.4353812231955095e-13 1.1651495708617968e-12 1.6273845728898556e-13 3.8685453255079635e-13 error error error error 20009.255987636032 4.41965908315467e-12 9.034162307131055e-13 5.146105763742526e-12 1.7648382755197645e-12 8.332778911324112e-12 1.681182970614259e-12 5.0597304124266884e-12 error error error error , Any[], Any[])
(349 12215 8899 4949 610.0301455445004 476.5024911742305 476.5024911742305 607.7753303594309 476.50249117423056 601.9577176367405 476.5024911742305 607.0717349209066 error error error error -56650.12264816812 -56650.122646057105 -56650.122646057105 -43272.66540196963 -56650.122646057105 -39062.57181413238 -56650.122646057105 -47991.3197946538 error error error error 202.38455381337394 202.38455381337394 202.38455381337394 236.98646584211633 202.38455381337394 253.96432542891478 202.38455381337394 229.17252914450373 error error error error error error error error error error error error error error error error 1728.6034757073999 9.468729938522094e-13 1.9398323943263303e-13 4.450930491700702e-13 2.316207158826746e-13 8.870575529215706e-13 2.394074257432739e-13 4.885514817077714e-13 error error error error 26560.533294152236 4.597655589577698e-12 1.0696998842263383e-12 5.916156453622534e-12 2.0101698083863084e-12 9.829914660031136e-12 1.9344525981068728e-12 6.338152225282556e-12 error error error error , Any[], Any[])
(349 12215 9227 517 583.0462110409783 310.4815142469924 310.4815142469924 594.6630372066074 310.48151424699245 570.3826379652165 310.4815142469924 596.4344626369311 error error error error -14579.548614921903 -14579.548611796761 -14579.548611796761 -6145.024535362007 -14579.548611796761 9035.78821822886 -14579.548611796761 -2845.4917794748912 error error error error 70.56201966676176 70.56201966676176 70.56201966676176 126.55873822137102 70.56201966676176 189.70157051966103 70.56201966676176 142.68009693915357 error error error error error error error error error error error error error error error error 2532.4106732221508 5.619952274795715e-13 5.38647343756514e-14 1.0889502088179257e-12 1.0461932131670778e-13 2.520121887536709e-12 1.806897544175325e-13 8.658180584747077e-13 error error error error 40557.18816941579 4.4740045002100715e-12 6.472877789320819e-13 9.741984996480824e-12 1.4498124922823763e-12 1.8564705328572018e-11 1.5120404928126163e-12 9.607870055106105e-12 error error error error , Any[], Any[])
(349 12215 9227 517 592.7826190903244 310.4815142636304 310.4815142636304 596.5846749910298 310.4815142636304 571.0266107184424 310.4815142636304 593.6187903950001 error error error error -14579.548616693226 -14579.548611796761 -14579.548611796761 -4797.233532569716 -14579.548611796761 11729.836299145607 -14579.548611796761 122.04060604538518 error error error error 70.56201966676176 70.56201966676176 70.56201966676176 133.7904678236055 70.56201966676176 199.23961829236612 70.56201966676176 156.57382735395421 error error error error error error error error error error error error error error error error 2990.8655529496427 5.648155168101121e-13 6.297957842182056e-14 8.702544206229645e-13 9.810419732750888e-14 1.3431083584713301e-12 1.891996938979733e-13 1.1787874616173448e-12 error error error error 47987.69666248022 4.331451863848201e-12 7.174538740883918e-13 1.021671636181054e-11 1.4051260155412137e-12 1.720723563636284e-11 1.4962198147117078e-12 1.1192602400456053e-11 error error error error , Any[], Any[])
(349 12215 9227 1205 590.9916598123674 346.4925944539585 346.4925944539585 597.5001765103165 346.4925944539585 575.4130455829695 346.4925944539585 598.7054493868261 error error error error -21216.75080722442 -21216.750804221207 -21216.750804221207 -12763.706159490304 -21216.750804221207 1911.2469129669364 -21216.750804221207 -9780.760710264112 error error error error 99.2571522506854 99.2571522506854 99.2571522506854 141.253758580874 99.2571522506854 201.42237510288766 99.2571522506854 157.87368999789516 error error error error error error error error error error error error error error error error 2359.7977160978744 8.049880592950712e-13 1.4304430470377303e-13 6.190463412092827e-13 2.1241030704557334e-13 1.1512716844834655e-12 2.8195407772758647e-13 6.5903201583181e-13 error error error error 37389.19298102288 5.175374018229206e-12 8.520267824607686e-13 8.021139308311831e-12 1.715363961984906e-12 1.3993917136190248e-11 1.747671452001498e-12 8.450795618841767e-12 error error error error , Any[], Any[])
(349 12215 9227 1205 592.4187223941852 346.4925944570624 346.4925944570624 596.8342861202283 346.4925944570624 574.4577520724528 346.4925944570624 596.651003212859 error error error error -21216.7508089737 -21216.750804221207 -21216.750804221207 -11336.576520584082 -21216.750804221207 2406.540682233912 -21216.750804221207 -9478.008813985667 error error error error 99.2571522506854 99.2571522506854 99.2571522506854 149.1387607350848 99.2571522506854 201.66971560347775 99.2571522506854 158.84013871579646 error error error error error error error error error error error error error error error error 2700.7494490032045 8.036797156053266e-13 5.052594369070025e-14 7.410759895849789e-13 1.2844323187712458e-13 1.3578278682620473e-12 2.451300911411593e-13 7.986791654707008e-13 error error error error 43341.140434043504 5.429101612719478e-12 6.692424392440444e-13 9.558576152812748e-12 1.4920287227937479e-12 1.6969536886790593e-11 1.6090462295892394e-12 1.021005502366279e-11 error error error error , Any[], Any[])
(349 12215 9227 3701 610.307185433324 440.74114264294093 440.74114264294093 609.5790764894161 440.74114264294104 601.7418208989185 440.741142642941 610.2589903254593 error error error error -43317.34719279635 -43317.347190238994 -43317.347190238994 -33243.553087018285 -43317.347190238994 -25865.058357289716 -43317.347190238994 -34775.88016621635 error error error error 167.34112982413052 167.34112982413052 167.34112982413052 198.0399528771472 167.34112982413052 227.1133115168257 167.34112982413052 198.92646424510198 error error error error error error error error error error error error error error error error 1680.23291270498 8.868354991366139e-13 7.170795174653764e-14 6.606551680505145e-13 1.338778472697819e-13 1.2915065207216678e-12 1.0852184805871106e-13 6.993111085057397e-13 error error error error 26160.065138236274 5.88176729543477e-12 9.140188605982758e-13 6.194378343593598e-12 1.6377732503514153e-12 1.1112888387287967e-11 1.5148160503741792e-12 6.263212171120358e-12 error error error error , Any[], Any[])
(349 12215 9227 3701 612.2273412253488 440.7411426458159 440.7411426458159 609.0701712585758 440.74114264581596 599.3770439125899 440.74114264581596 611.0566849937313 error error error error -43317.3471926616 -43317.347190238994 -43317.347190238994 -30031.719616387018 -43317.347190238994 -24517.108370783815 -43317.347190238994 -33043.01990234353 error error error error 167.34112982413052 167.34112982413052 167.34112982413052 209.42120175186287 167.34112982413052 230.5926333175054 167.34112982413052 204.80742749582288 error error error error error error error error error error error error error error error error 2039.9504469432636 8.679943792457037e-13 1.267243140014341e-13 5.246975092733611e-13 1.0881460411389963e-13 1.3216608577138778e-12 9.682119115103038e-14 5.856749199939749e-13 error error error error 31595.413084528223 5.619310572413383e-12 9.794109967486975e-13 6.98574531554641e-12 1.5474566072981588e-12 1.3537615473069309e-11 1.3560541578527818e-12 7.40763006490397e-12 error error error error , Any[], Any[])
(349 12215 9227 4949 609.5711984256551 477.02595914678454 477.0259591467845 608.3026666867366 477.02595914678454 603.1789282713422 477.02595914678454 609.052914529262 error error error error -53987.048794283604 -53987.04879231106 -53987.04879231106 -42607.477358943885 -53987.04879231106 -40746.498906517954 -53987.04879231106 -47130.76616847844 error error error error 194.01630369125036 194.01630369125036 194.01630369125036 224.64940645331146 194.01630369125036 235.01758878057439 194.01630369125036 216.50449844500878 error error error error error error error error error error error error error error error error 1420.5327478002725 9.282003130925998e-13 7.567000701754048e-14 5.154329693082715e-13 2.5713149343390486e-13 8.702779956466983e-13 1.3972086190361482e-13 4.0756043776565315e-13 error error error error 22023.067011670646 5.181688411681762e-12 9.629519404086295e-13 5.582867501630062e-12 1.7726375922677562e-12 8.333445045138888e-12 1.704136831648384e-12 5.401901148616162e-12 error error error error , Any[], Any[])
